Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Educational Attainment Distribution by Broad Age"
"De facto population by level of educational attainment in a country or region, classified by sex and by broad age groups. Available in all scenarios and at all geographical scales. Figures are expressed as a percentage."
"Medium (SSP2)"
" "
"Area","Year","Age","Sex","Education","Distribution"
"Indonesia",1950,"20--39","Female","Under 15",0
"Indonesia",1955,"20--39","Female","Under 15",0
"Indonesia",1960,"20--39","Female","Under 15",0
"Indonesia",1965,"20--39","Female","Under 15",0
"Indonesia",1970,"20--39","Female","Under 15",0
"Indonesia",1975,"20--39","Female","Under 15",0
"Indonesia",1980,"20--39","Female","Under 15",0
"Indonesia",1985,"20--39","Female","Under 15",0
"Indonesia",1990,"20--39","Female","Under 15",0
"Indonesia",1995,"20--39","Female","Under 15",0
"Indonesia",2000,"20--39","Female","Under 15",0
"Indonesia",2005,"20--39","Female","Under 15",0
"Indonesia",2010,"20--39","Female","Under 15",0
"Indonesia",2015,"20--39","Female","Under 15",0
"Malaysia",1950,"20--39","Female","Under 15",0
"Malaysia",1955,"20--39","Female","Under 15",0
"Malaysia",1960,"20--39","Female","Under 15",0
"Malaysia",1965,"20--39","Female","Under 15",0
"Malaysia",1970,"20--39","Female","Under 15",0
"Malaysia",1975,"20--39","Female","Under 15",0
"Malaysia",1980,"20--39","Female","Under 15",0
"Malaysia",1985,"20--39","Female","Under 15",0
"Malaysia",1990,"20--39","Female","Under 15",0
"Malaysia",1995,"20--39","Female","Under 15",0
"Malaysia",2000,"20--39","Female","Under 15",0
"Malaysia",2005,"20--39","Female","Under 15",0
"Malaysia",2010,"20--39","Female","Under 15",0
"Malaysia",2015,"20--39","Female","Under 15",0
"Philippines",1950,"20--39","Female","Under 15",0
"Philippines",1955,"20--39","Female","Under 15",0
"Philippines",1960,"20--39","Female","Under 15",0
"Philippines",1965,"20--39","Female","Under 15",0
"Philippines",1970,"20--39","Female","Under 15",0
"Philippines",1975,"20--39","Female","Under 15",0
"Philippines",1980,"20--39","Female","Under 15",0
"Philippines",1985,"20--39","Female","Under 15",0
"Philippines",1990,"20--39","Female","Under 15",0
"Philippines",1995,"20--39","Female","Under 15",0
"Philippines",2000,"20--39","Female","Under 15",0
"Philippines",2005,"20--39","Female","Under 15",0
"Philippines",2010,"20--39","Female","Under 15",0
"Philippines",2015,"20--39","Female","Under 15",0
"Thailand",1950,"20--39","Female","Under 15",0
"Thailand",1955,"20--39","Female","Under 15",0
"Thailand",1960,"20--39","Female","Under 15",0
"Thailand",1965,"20--39","Female","Under 15",0
"Thailand",1970,"20--39","Female","Under 15",0
"Thailand",1975,"20--39","Female","Under 15",0
"Thailand",1980,"20--39","Female","Under 15",0
"Thailand",1985,"20--39","Female","Under 15",0
"Thailand",1990,"20--39","Female","Under 15",0
"Thailand",1995,"20--39","Female","Under 15",0
"Thailand",2000,"20--39","Female","Under 15",0
"Thailand",2005,"20--39","Female","Under 15",0
"Thailand",2010,"20--39","Female","Under 15",0
"Thailand",2015,"20--39","Female","Under 15",0
"Viet Nam",1950,"20--39","Female","Under 15",0
"Viet Nam",1955,"20--39","Female","Under 15",0
"Viet Nam",1960,"20--39","Female","Under 15",0
"Viet Nam",1965,"20--39","Female","Under 15",0
"Viet Nam",1970,"20--39","Female","Under 15",0
"Viet Nam",1975,"20--39","Female","Under 15",0
"Viet Nam",1980,"20--39","Female","Under 15",0
"Viet Nam",1985,"20--39","Female","Under 15",0
"Viet Nam",1990,"20--39","Female","Under 15",0
"Viet Nam",1995,"20--39","Female","Under 15",0
"Viet Nam",2000,"20--39","Female","Under 15",0
"Viet Nam",2005,"20--39","Female","Under 15",0
"Viet Nam",2010,"20--39","Female","Under 15",0
"Viet Nam",2015,"20--39","Female","Under 15",0
"Indonesia",1950,"20--39","Female","No Education",59.6
"Indonesia",1955,"20--39","Female","No Education",53.9
"Indonesia",1960,"20--39","Female","No Education",50.3
"Indonesia",1965,"20--39","Female","No Education",45.7
"Indonesia",1970,"20--39","Female","No Education",39.9
"Indonesia",1975,"20--39","Female","No Education",32.4
"Indonesia",1980,"20--39","Female","No Education",24.7
"Indonesia",1985,"20--39","Female","No Education",18.5
"Indonesia",1990,"20--39","Female","No Education",13.6
"Indonesia",1995,"20--39","Female","No Education",9.9
"Indonesia",2000,"20--39","Female","No Education",6.7
"Indonesia",2005,"20--39","Female","No Education",4.4
"Indonesia",2010,"20--39","Female","No Education",3
"Indonesia",2015,"20--39","Female","No Education",2.1
"Malaysia",1950,"20--39","Female","No Education",80
"Malaysia",1955,"20--39","Female","No Education",73.6
"Malaysia",1960,"20--39","Female","No Education",64.9
"Malaysia",1965,"20--39","Female","No Education",54.8
"Malaysia",1970,"20--39","Female","No Education",42.4
"Malaysia",1975,"20--39","Female","No Education",30.4
"Malaysia",1980,"20--39","Female","No Education",20.9
"Malaysia",1985,"20--39","Female","No Education",14.8
"Malaysia",1990,"20--39","Female","No Education",10.8
"Malaysia",1995,"20--39","Female","No Education",8.2
"Malaysia",2000,"20--39","Female","No Education",6.1
"Malaysia",2005,"20--39","Female","No Education",4.2
"Malaysia",2010,"20--39","Female","No Education",3
"Malaysia",2015,"20--39","Female","No Education",2.1
"Philippines",1950,"20--39","Female","No Education",19.8
"Philippines",1955,"20--39","Female","No Education",15.1
"Philippines",1960,"20--39","Female","No Education",11.4
"Philippines",1965,"20--39","Female","No Education",8.5
"Philippines",1970,"20--39","Female","No Education",6.5
"Philippines",1975,"20--39","Female","No Education",4.8
"Philippines",1980,"20--39","Female","No Education",3.8
"Philippines",1985,"20--39","Female","No Education",3.2
"Philippines",1990,"20--39","Female","No Education",2.8
"Philippines",1995,"20--39","Female","No Education",2.4
"Philippines",2000,"20--39","Female","No Education",2.1
"Philippines",2005,"20--39","Female","No Education",1.7
"Philippines",2010,"20--39","Female","No Education",1.4
"Philippines",2015,"20--39","Female","No Education",1
"Thailand",1950,"20--39","Female","No Education",50.4
"Thailand",1955,"20--39","Female","No Education",38.3
"Thailand",1960,"20--39","Female","No Education",27
"Thailand",1965,"20--39","Female","No Education",17.8
"Thailand",1970,"20--39","Female","No Education",11
"Thailand",1975,"20--39","Female","No Education",6.4
"Thailand",1980,"20--39","Female","No Education",4.2
"Thailand",1985,"20--39","Female","No Education",3.3
"Thailand",1990,"20--39","Female","No Education",2.6
"Thailand",1995,"20--39","Female","No Education",2
"Thailand",2000,"20--39","Female","No Education",1.8
"Thailand",2005,"20--39","Female","No Education",1.9
"Thailand",2010,"20--39","Female","No Education",2.4
"Thailand",2015,"20--39","Female","No Education",1.8
"Viet Nam",1950,"20--39","Female","No Education",51.2
"Viet Nam",1955,"20--39","Female","No Education",41.3
"Viet Nam",1960,"20--39","Female","No Education",33.7
"Viet Nam",1965,"20--39","Female","No Education",26.4
"Viet Nam",1970,"20--39","Female","No Education",19.6
"Viet Nam",1975,"20--39","Female","No Education",13.5
"Viet Nam",1980,"20--39","Female","No Education",9.6
"Viet Nam",1985,"20--39","Female","No Education",7.4
"Viet Nam",1990,"20--39","Female","No Education",6.3
"Viet Nam",1995,"20--39","Female","No Education",5.8
"Viet Nam",2000,"20--39","Female","No Education",5.6
"Viet Nam",2005,"20--39","Female","No Education",5.5
"Viet Nam",2010,"20--39","Female","No Education",5.1
"Viet Nam",2015,"20--39","Female","No Education",4.1
"Indonesia",1950,"20--39","Female","Incomplete Primary",20.6
"Indonesia",1955,"20--39","Female","Incomplete Primary",21.9
"Indonesia",1960,"20--39","Female","Incomplete Primary",21.7
"Indonesia",1965,"20--39","Female","Incomplete Primary",21
"Indonesia",1970,"20--39","Female","Incomplete Primary",19.9
"Indonesia",1975,"20--39","Female","Incomplete Primary",18.3
"Indonesia",1980,"20--39","Female","Incomplete Primary",16.4
"Indonesia",1985,"20--39","Female","Incomplete Primary",14.2
"Indonesia",1990,"20--39","Female","Incomplete Primary",11.8
"Indonesia",1995,"20--39","Female","Incomplete Primary",9.3
"Indonesia",2000,"20--39","Female","Incomplete Primary",7
"Indonesia",2005,"20--39","Female","Incomplete Primary",5.1
"Indonesia",2010,"20--39","Female","Incomplete Primary",3.8
"Indonesia",2015,"20--39","Female","Incomplete Primary",2.8
"Malaysia",1950,"20--39","Female","Incomplete Primary",12.9
"Malaysia",1955,"20--39","Female","Incomplete Primary",16.3
"Malaysia",1960,"20--39","Female","Incomplete Primary",19.7
"Malaysia",1965,"20--39","Female","Incomplete Primary",21.9
"Malaysia",1970,"20--39","Female","Incomplete Primary",21.7
"Malaysia",1975,"20--39","Female","Incomplete Primary",19.5
"Malaysia",1980,"20--39","Female","Incomplete Primary",16
"Malaysia",1985,"20--39","Female","Incomplete Primary",12.2
"Malaysia",1990,"20--39","Female","Incomplete Primary",9.1
"Malaysia",1995,"20--39","Female","Incomplete Primary",6.9
"Malaysia",2000,"20--39","Female","Incomplete Primary",5.2
"Malaysia",2005,"20--39","Female","Incomplete Primary",3.9
"Malaysia",2010,"20--39","Female","Incomplete Primary",3
"Malaysia",2015,"20--39","Female","Incomplete Primary",2.2
"Philippines",1950,"20--39","Female","Incomplete Primary",42.7
"Philippines",1955,"20--39","Female","Incomplete Primary",40.8
"Philippines",1960,"20--39","Female","Incomplete Primary",37.2
"Philippines",1965,"20--39","Female","Incomplete Primary",32.8
"Philippines",1970,"20--39","Female","Incomplete Primary",27.9
"Philippines",1975,"20--39","Female","Incomplete Primary",22.7
"Philippines",1980,"20--39","Female","Incomplete Primary",18.5
"Philippines",1985,"20--39","Female","Incomplete Primary",15.2
"Philippines",1990,"20--39","Female","Incomplete Primary",12.7
"Philippines",1995,"20--39","Female","Incomplete Primary",10.7
"Philippines",2000,"20--39","Female","Incomplete Primary",9.1
"Philippines",2005,"20--39","Female","Incomplete Primary",7.6
